declaration_id,agent_id,role,institution,declaration_type,declaration_date,gross_salary,side_income_consulting,side_income_board_memberships,assets_in_real_estate,assets_in_vehicles,assets_in_stocks
D000001,A0001,MP,Parliament,Initial,2018-12-23,93942.68,500.22,5500.59,477741.87,44188.27,135339.9
D000002,A0001,MP,Parliament,Regular,2024-08-15,96439.35,265.01,3952.93,101071.06,1592.16,39767.53
D000003,A0001,MP,Parliament,Regular,2025-04-15,104313.72,459.96,5221.21,55638.14,52158.02,151761.47
D000004,A0001,MP,Parliament,Regular,2019-10-16,104223.94,420.31,3605.52,191442.61,20195.67,18549.17
D000005,A0001,MP,Parliament,Exceptional,2021-11-09,103511.96,653.85,6764.25,107245.62,58386.95,75706.88
D000006,A0001,MP,Parliament,Exceptional,2024-03-11,88925.12,564.56,7620.8,72327.01,11537.32,13911.03
D000007,A0001,MP,Parliament,Exceptional,2025-06-01,85858.83,394.86,3189.2,46558.18,6060.09,55594.72
D000008,A0001,MP,Parliament,Regular,2025-06-02,129773.42,432.6,4786.51,41901.41,16018.67,554314.69
D000009,A0002,MP,Parliament,Initial,2024-03-31,90913.1,3422.77,14582.54,453619.93,22767.33,197904.67
D000010,A0002,MP,Parliament,Regular,2020-06-18,100493.91,4596.28,18607.31,45809.61,1926.01,63090.61
D000011,A0002,MP,Parliament,Regular,2021-01-01,83627.01,4836.84,15562.19,143582.85,12757.59,99846.25
D000012,A0002,MP,Parliament,Regular,2025-03-18,94336.48,2618.01,10887.72,112273.63,15764.5,116917.2
D000013,A0002,MP,Parliament,Regular,2025-03-19,112699.54,2462.07,21837.9,101905.26,5454.56,400918.91
D000014,A0003,MP,Parliament,Initial,2024-03-16,92744.6,15841.59,8443.2,444638.02,22897.16,199224.28
D000015,A0003,MP,Parliament,Regular,2018-02-17,102397.93,9735.48,11692.04,150175.56,46115.92,68035.09
D000016,A0003,MP,Parliament,Regular,2021-04-17,95566.78,15108.5,12274.86,175170.59,15803.34,100117.22
D000017,A0003,MP,Parliament,Regular,2020-01-02,97595.56,9606.51,9501.13,168333.87,30459.77,39782.22
D000018,A0003,MP,Parliament,Exceptional,2019-10-24,99207.93,20255.47,8699.48,114.38,19449.36,3895.35
D000019,A0003,MP,Parliament,Exceptional,2022-01-26,114944.04,21095.7,6818.0,11585.03,52680.58,189389.89
D000020,A0003,MP,Parliament,Exceptional,2018-12-17,108135.92,20847.9,12478.92,106541.23,7545.63,131950.16
D000021,A0003,MP,Parliament,Regular,2024-03-17,145433.67,10536.67,8676.85,121318.78,57861.77,718643.7
D000022,A0004,MP,Parliament,Initial,2020-10-12,98986.76,14258.98,7979.85,459037.26,22405.23,179922.82
D000023,A0004,MP,Parliament,Regular,2020-07-09,90989.4,7429.42,8410.13,117688.02,431.45,141568.19
D000024,A0004,MP,Parliament,Regular,2018-08-30,95886.75,20039.86,10849.68,14171.47,14280.28,133795.56
D000025,A0004,MP,Parliament,Regular,2020-05-27,105101.19,17443.76,11031.2,115242.33,14579.83,94594.59
D000026,A0004,MP,Parliament,Exceptional,2019-01-22,83986.84,13275.84,7370.02,93404.93,43744.55,134672.91
D000027,A0004,MP,Parliament,Exceptional,2025-03-31,84060.44,12870.46,6697.51,172334.51,14919.38,38041.78
D000028,A0004,MP,Parliament,Exceptional,2023-01-12,86127.51,9745.84,7681.62,174897.19,4523.09,161604.45
D000029,A0004,MP,Parliament,Regular,2025-04-01,149824.4,8525.57,9193.94,108117.59,885.47,747355.93
D000030,A0005,MP,Parliament,Initial,2022-05-19,53637.95,8128.28,9627.17,175516.46,54146.57,32927.42
D000031,A0005,MP,Parliament,Regular,2020-12-22,63183.11,10445.89,7559.73,139318.3,43830.32,156672.31
D000032,A0005,MP,Parliament,Regular,2025-06-04,59834.34,5322.37,7670.04,193741.87,34750.82,108439.04
D000033,A0005,MP,Parliament,Regular,2021-07-08,49194.02,8812.5,9654.61,170543.98,9445.96,192155.78
D000034,A0005,MP,Parliament,Exceptional,2020-02-01,44748.03,4616.55,13110.46,80755.11,56495.77,113935.08
D000035,A0005,MP,Parliament,Exceptional,2024-06-29,58854.75,9098.65,8849.53,116734.46,31366.96,186941.25
D000036,A0005,MP,Parliament,Exceptional,2020-04-16,60871.72,6617.92,7370.7,26175.66,38730.05,91444.91
D000037,A0005,MP,Parliament,Regular,2025-06-05,83536.33,11670.05,4903.27,124231.85,33779.62,390261.65
D000038,A0006,MP,Parliament,Initial,2024-02-04,80588.47,2649.13,6980.18,320193.69,14657.06,56997.48
D000039,A0006,MP,Parliament,Regular,2025-11-21,79843.44,3930.92,9123.79,105788.14,40071.79,110920.46
D000040,A0006,MP,Parliament,Regular,2025-06-10,75033.99,3650.84,5336.11,177942.54,44545.0,31089.58
D000041,A0006,MP,Parliament,Regular,2021-02-28,87152.32,3225.61,4911.23,126847.59,15839.03,97706.37
D000042,A0006,MP,Parliament,Regular,2025-11-22,121500.19,1569.08,6446.72,55336.04,212.74,524048.95
D000043,A0007,MP,Parliament,Initial,2019-09-03,56195.53,14824.62,11033.61,388275.26,580.18,15048.77
