agent_id,company_NIF,company_value,total_value_in_stocks,company_percentage,declaration_date
A0001,100000068,23290714.35,43686.83,8.21,2024-07-26
A0001,100000142,36418986.31,498461.42,14.03,2022-05-29
A0001,100000173,35795523.04,0.0,20.87,2024-10-05
A0002,100000141,21399089.35,264076.4,44.01,2023-02-03
A0003,100000042,8620523.96,117061.94,47.36,2020-10-16
A0003,100000085,43459521.82,58992.16,58.4,2020-08-19
A0003,100000079,47014755.12,0.0,53.71,2025-01-27
A0003,100000040,6113664.21,0.0,3.49,2022-10-04
A0004,100000062,3895931.54,50777.17,16.28,2020-12-08
A0004,100000176,5501443.7,335.85,52.66,2022-06-20
A0005,100000065,49262510.26,0.0,52.95,2019-12-27
A0005,100000106,9395036.55,0.0,12.79,2023-12-04
A0006,100000046,10552955.34,94637.65,53.22,2023-02-25
A0006,100000008,14050880.76,80191.05,17.07,2022-01-27
A0006,100000183,45480246.25,0.0,7.12,2025-04-26
A0006,100000078,43691877.49,0.0,12.28,2019-08-27
A0007,100000019,17637164.25,0.0,6.4,2024-06-16
A0008,100000075,17290041.53,0.0,59.5,2025-03-12
A0008,100000073,40834608.82,676449.34,10.09,2025-01-31
A0008,100000141,15664848.34,0.0,31.94,2025-01-05
A0009,100000096,6373372.07,78156.31,14.33,2022-02-12
A0009,100000019,6450930.15,98545.57,9.77,2022-07-29
A0009,100000069,32442386.41,371418.34,45.17,2019-12-13
A0010,100000169,9723637.38,0.0,23.3,2024-09-08
A0010,100000128,9502942.59,43734.27,59.44,2022-12-12
A0010,100000186,11505975.95,0.0,12.34,2024-12-21
A0011,100000095,28926054.91,0.0,45.9,2019-04-30
A0011,100000092,1102905.05,3594.97,14.47,2023-03-19
A0011,100000080,13793438.03,0.0,48.59,2025-04-20
A0011,100000019,11791820.76,146700.56,47.84,2021-02-12
A0012,100000145,34680842.76,0.0,10.73,2020-08-18
A0012,100000012,23811341.25,59489.19,20.44,2024-04-03
A0012,100000043,37267361.62,127349.12,15.68,2018-11-09
A0012,100000006,5497713.61,0.0,43.48,2020-10-25
A0013,100000076,12691985.89,83202.83,54.25,2023-05-14
A0013,100000136,41468719.01,0.0,38.43,2022-04-22
A0013,100000043,37494080.02,352806.83,18.58,2025-02-16
A0013,100000018,31963313.24,0.0,55.26,2018-02-24
A0014,100000107,29926562.47,77414.82,44.21,2019-04-13
A0014,100000185,40641127.38,790788.11,1.69,2024-09-02
A0014,100000160,37747624.96,0.0,24.85,2021-06-21
A0014,100000155,40790485.46,0.0,6.24,2018-09-19
A0015,100000153,31812472.91,221526.46,57.35,2022-04-30
A0015,100000086,4798802.57,8632.43,0.64,2020-12-26
A0015,100000112,29484107.33,107816.36,5.1,2019-02-24
A0015,100000027,16602634.05,96112.14,54.03,2019-07-23
A0016,100000020,1080738.53,6888.85,24.98,2020-11-07
A0016,100000194,45607859.46,512884.99,3.26,2023-05-23
A0017,100000142,31428217.07,183823.83,55.71,2022-08-30
A0017,100000130,32304713.33,0.0,57.72,2019-04-08
A0018,100000015,44539641.04,365613.11,33.3,2020-12-18
A0018,100000191,27851801.53,561848.66,42.15,2019-08-01
A0019,100000009,31305383.09,8501.99,51.04,2022-04-09
A0019,100000158,32195862.13,0.0,36.31,2023-01-29
A0019,100000129,9032406.77,104280.7,52.52,2018-09-10
A0020,100000073,42069233.01,0.0,5.18,2019-07-13
A0021,100000100,24308596.13,0.0,0.93,2023-06-24
A0021,100000043,42353096.2,385595.07,14.88,2022-09-30
A0021,100000017,18344276.42,0.0,43.13,2022-02-17
A0022,100000132,42309787.6,37430.77,42.31,2024-09-19
A0022,100000181,14389767.42,58547.23,52.04,2021-08-18
A0023,100000178,44874164.13,138375.38,26.27,2023-06-30
A0023,100000179,25688307.89,212546.13,45.92,2024-08-26
A0023,100000058,16405188.49,0.0,1.82,2023-05-12
A0023,100000147,41218936.58,259420.14,28.21,2025-03-11
A0024,100000099,1777584.78,0.0,26.67,2021-07-01
A0024,100000184,2977698.36,22332.77,37.58,2024-07-30
A0025,100000154,33959985.37,227925.26,16.43,2019-02-28
A0025,100000081,14756329.31,0.0,0.37,2020-07-30
A0026,100000060,40615931.7,474942.4,20.53,2018-04-15
A0027,100000135,28025394.63,0.0,21.4,2022-08-06
A0027,100000158,19770275.34,174608.16,38.0,2026-01-14
A0028,100000158,18504091.23,76593.99,25.21,2025-08-02
A0029,100000100,24822311.2,456972.07,1.12,2018-12-02
A0029,100000043,5341529.53,0.0,5.32,2021-04-06
A0029,100000033,33500995.82,0.0,23.43,2022-04-05
A0029,100000079,14999900.2,8409.78,50.32,2019-03-02
A0030,100000033,17916388.78,0.0,51.29,2021-04-16
A0031,100000128,39522722.6,348973.47,21.01,2025-02-06
A0032,100000082,12779733.45,0.0,24.38,2019-10-08
A0032,100000070,24060845.34,0.0,38.49,2023-01-31
A0033,100000009,36414058.9,0.0,49.4,2022-09-06
A0033,100000174,38898613.39,453784.23,55.6,2021-08-14
A0033,100000117,24806194.65,457427.45,53.77,2020-10-29
A0034,100000186,8580775.99,0.0,55.24,2018-11-08
A0034,100000043,17216931.09,0.0,10.31,2024-03-06
A0034,100000074,39862360.19,67993.8,25.22,2025-03-07
A0035,100000021,40466300.61,535038.48,39.61,2019-11-27
A0036,100000122,32092272.64,0.0,35.38,2019-12-19
A0036,100000159,34596971.77,102215.36,16.5,2022-10-20
A0037,100000041,31584481.55,320601.2,12.62,2023-07-27
A0037,100000065,29655237.1,184438.22,40.75,2024-04-28
A0037,100000157,3950806.74,7540.87,3.26,2020-07-06
A0038,100000068,1045150.37,10465.04,2.38,2024-04-13
A0038,100000067,17781944.62,0.0,45.6,2026-01-05
A0038,100000021,14860557.87,113210.33,56.49,2022-08-27
A0039,100000120,11847432.43,0.0,53.35,2025-10-16
A0039,100000139,35651129.68,0.0,20.51,2020-04-06
A0039,100000172,43666600.25,330959.61,56.5,2022-03-17
A0040,100000085,14931690.95,207283.24,9.75,2018-10-16
A0040,100000079,22284921.94,0.0,7.94,2019-11-18
A0041,100000069,18354187.77,176127.74,3.67,2018-04-02
A0042,100000062,44372054.09,739714.94,12.35,2018-11-09
A0042,100000017,25410823.21,354586.6,31.68,2023-07-25
A0042,100000048,26542691.5,454301.72,26.98,2025-04-19
A0042,100000097,49833401.42,504241.77,54.13,2020-02-12
A0043,100000177,15055914.62,18272.02,30.5,2025-12-25
A0043,100000156,5166415.38,0.0,4.05,2022-04-25
A0044,100000062,41585329.73,0.0,12.22,2025-08-06
A0045,100000015,19311528.66,0.0,30.33,2021-02-26
A0045,100000022,15766730.08,350190.73,31.8,2022-09-15
A0046,100000013,34172193.97,0.0,39.93,2025-01-26
A0046,100000154,5270929.1,8024.59,55.09,2023-04-15
A0046,100000141,36826900.66,247122.25,32.46,2025-09-03
A0046,100000017,12774473.61,5893.38,1.98,2022-08-29
A0047,100000185,46658285.23,918429.33,58.59,2023-08-05
A0047,100000117,23291050.58,0.0,47.01,2022-09-01
A0047,100000087,23350872.39,70490.93,45.94,2021-06-28
A0047,100000091,17210385.12,0.0,20.98,2018-08-27
A0048,100000064,25708948.68,0.0,53.98,2024-11-17
A0048,100000084,35094678.29,0.0,48.37,2020-04-07
A0049,100000197,6440924.44,0.0,44.37,2018-07-26
A0049,100000035,11011619.54,0.0,22.97,2021-07-14
A0049,100000095,41306677.51,0.0,12.4,2024-01-11
A0050,100000049,10241020.74,0.0,41.5,2018-12-03
A0050,100000052,37515145.03,0.0,21.98,2018-10-14
A0051,100000167,17481697.59,0.0,31.25,2018-04-27
A0051,100000118,19449287.35,148380.77,1.47,2018-03-13
A0051,100000110,39986455.4,46400.45,8.4,2018-02-28
A0052,100000112,6200057.44,0.0,16.96,2025-02-02
A0052,100000031,15550731.8,0.0,44.81,2023-09-08
A0052,100000122,6260758.89,0.0,26.28,2022-09-17
A0052,100000073,12989488.32,47160.92,33.79,2020-11-10
A0053,100000116,41928669.27,635634.14,41.87,2024-06-29
A0053,100000116,9538979.6,0.0,15.03,2021-02-28
A0054,100000111,41427592.74,106091.47,34.05,2019-11-23
A0055,100000042,8726472.92,0.0,40.04,2022-01-19
A0055,100000129,23243581.34,176161.96,37.24,2019-04-03
A0055,100000041,9856097.31,23200.22,22.52,2020-12-19
A0056,100000151,41535209.56,0.0,40.23,2024-08-11
A0057,100000154,5044957.28,0.0,21.56,2025-08-11
A0057,100000185,29536491.72,0.0,20.1,2025-12-05
A0057,100000179,16364798.16,185481.11,35.08,2022-06-01
A0058,100000076,38605307.73,46992.37,26.01,2019-08-15
A0058,100000060,1289347.32,24595.24,49.5,2020-11-22
A0058,100000018,9323876.01,0.0,58.12,2019-10-02
A0059,100000126,17181452.52,0.0,32.35,2023-07-16
A0059,100000002,25603216.65,0.0,47.27,2023-04-09
A0059,100000195,34687179.22,0.0,29.34,2018-07-04
A0059,100000031,15761796.82,0.0,53.61,2023-01-24
A0060,100000191,34274432.63,157348.19,56.01,2020-07-24
A0061,100000125,32442309.87,174178.76,8.68,2021-11-08
A0061,100000011,45471746.35,0.0,44.6,2025-10-28
A0061,100000007,34868422.41,316379.99,3.53,2025-06-21
