agent_id,role,declaration_type,declaration_date,declaration_id,institution,gross_salary,side_income_consulting,side_income_board_memberships,assets_in_real_estate,assets_in_vehicles,assets_in_stocks
A00001,MP,initial,2024-05-02 15:56:35,D000000,Parliament,59908.9363269016,9110.079681067367,34447.6273674199,7828.784402128915,19794.715427272135,16802.708297322108
A00001,MP,regular,2025-01-15 00:00:00,D000001,Parliament,72577.36161677462,31565.082510881977,14655.365341489232,447.7719282665942,937.7508333147579,25027.953104492994
A00001,MP,regular,2026-01-15 00:00:00,D000002,Parliament,61227.440378213476,26782.41004776108,9141.892217124767,16945.613880322635,4244.49395835199,29924.280475238847
A00002,MP,initial,2019-10-19 21:17:16,D000003,Parliament,58516.65520213286,51926.13193062236,22923.8179776875,5665.232082242071,11390.513686394026,31017.28844744206
A00002,MP,regular,2020-01-15 00:00:00,D000004,Parliament,73786.14724481653,1208.370991861059,17842.785255315517,36802.95007837799,63901.049798724496,38416.38532156148
A00002,MP,regular,2021-01-15 00:00:00,D000005,Parliament,55645.88183717023,232.4714753594661,19849.973049023025,3092.3038563858054,1989.8749389521722,7607.71737128738
A00002,MP,regular,2022-01-15 00:00:00,D000006,Parliament,64010.88471107854,24022.12697747163,8401.783395311872,11411.54260801732,31342.166901843513,27390.58810026885
A00002,MP,regular,2023-01-15 00:00:00,D000007,Parliament,64825.467092940205,6550.299342356852,11197.811233614824,5837.2882212891245,4243.869778021419,58621.85937627867
A00002,MP,regular,2024-01-15 00:00:00,D000008,Parliament,49978.64319535427,8131.681544427709,16333.278320114265,23397.97414498883,14179.479627478826,9160.491831344245
A00002,MP,regular,2025-01-15 00:00:00,D000009,Parliament,74880.63524304784,15828.52440164252,36562.25450921142,15904.967354638628,29131.83166128357,30069.252131816407
A00002,MP,regular,2026-01-15 00:00:00,D000010,Parliament,57375.60364956887,2160.9072911977014,28786.217968794543,31307.24538335013,23585.3012702286,6891.05369469391
A00002,MP,exceptional,2025-12-14 19:25:02,D000011,Parliament,48663.82260760733,20583.27774570393,2526.142338919432,12272.402586082992,29899.681079388916,3861.2429907337355
A00002,MP,exceptional,2024-01-21 19:20:10,D000012,Parliament,68047.64765355605,7865.221016636268,5635.438106136129,96.40058488239728,33596.423291147265,11827.229053824482
A00002,MP,exceptional,2022-01-15 22:44:23,D000013,Parliament,46522.98027313444,20032.350079481337,540.3897143494769,4846.4377241861175,7298.244829654048,32852.87954584667
A00003,MP,initial,2022-12-03 10:45:16,D000014,Parliament,60422.717360536924,35916.18273026337,159.84844905179756,141573.43905066635,9052.096453726232,7338.041829256608
A00003,MP,regular,2023-01-15 00:00:00,D000015,Parliament,59863.21505033695,3753.388624440851,5081.734561168192,10395.477111183822,33828.439798004656,6989.42954679097
A00003,MP,regular,2024-01-15 00:00:00,D000016,Parliament,76288.43348747367,53436.22461160347,32120.968067246835,19364.05845404711,788.1913455471488,6505.603031224703
A00003,MP,regular,2025-01-15 00:00:00,D000017,Parliament,67120.47349319929,15129.75574167389,47024.51358363772,47063.17462450482,14449.653694132729,4921.105246545375
A00003,MP,regular,2026-01-15 00:00:00,D000018,Parliament,59624.595618822845,51260.24364518368,9943.989848577407,414.75460313206406,50615.98338450832,18889.2260933034
A00003,MP,exceptional,2022-09-04 13:20:20,D000019,Parliament,72266.4944880043,4657.062798557225,16565.5328331961,21553.112221319523,43257.157430186846,5576.743025763381
A00003,MP,exceptional,2022-03-22 22:40:38,D000020,Parliament,80853.1132352597,18555.25896667327,24487.088917336194,6804.13931234674,32623.850511463872,54637.4816093474
A00003,MP,exceptional,2019-02-19 05:22:01,D000021,Parliament,68367.15459527794,10346.504587740803,61125.235179904455,6549.210437327813,435.6880951403438,8490.849999192087
A00004,MP,initial,2022-03-21 17:54:26,D000022,Parliament,60155.28929765071,29764.0782004719,48821.37163719456,5094.010605280037,43729.32718599409,15635.142450404115
A00004,MP,regular,2023-01-15 00:00:00,D000023,Parliament,40322.45651474761,18623.465755799727,1177.858887567321,34601.53727953078,48532.143489281225,10524.554663966785
A00004,MP,regular,2024-01-15 00:00:00,D000024,Parliament,44023.29505386941,13644.756371051066,5704.7903107306265,9334.50760988448,21793.2527679867,65783.67733636466
A00004,MP,regular,2025-01-15 00:00:00,D000025,Parliament,55421.629434679984,48833.588644447686,1007.8643905860283,1389.4998593572996,7102.491448442875,11033.351793711112
A00004,MP,regular,2026-01-15 00:00:00,D000026,Parliament,50857.31696761075,9467.933636364603,19170.52559298444,2037.358169081328,13464.043085457553,16588.249485342047
A00004,MP,exceptional,2023-02-06 21:19:18,D000027,Parliament,57195.43045521831,4968.719625697187,24791.537915705565,3217.8019044783814,28761.812125035514,28829.65283214246
A00004,MP,exceptional,2025-11-27 08:26:50,D000028,Parliament,60849.74887345661,18735.0320447522,7371.579253673657,45838.36122241581,33536.000727980274,3757.85785128146
A00004,MP,exceptional,2020-12-17 03:26:02,D000029,Parliament,67945.39131535096,19564.835384623082,38462.69687004002,11152.874602163312,8411.89935189614,663.7286154429954
A00005,MP,initial,2025-04-22 06:08:23,D000030,Parliament,58942.518329113635,11564.061071773102,12059.284282717517,49550.52057793133,7892.49543071435,12136.451013722373
A00005,MP,regular,2026-01-15 00:00:00,D000031,Parliament,67297.52465739303,13334.391476489256,128525.29624843739,34017.85268538024,26649.856644955682,15998.666147857833
A00006,MP,initial,2020-11-20 06:51:32,D000032,Parliament,60967.1162221518,64155.46093897423,7.995449753969554,36388.692919599634,23189.92635886752,6767.189410200076
A00006,MP,regular,2021-01-15 00:00:00,D000033,Parliament,30368.00150469193,26386.602542840174,2319.2123847458092,6760.759947392361,14397.923679391164,12416.70399285301
A00006,MP,regular,2022-01-15 00:00:00,D000034,Parliament,45909.96909271869,2344.2034038607994,7184.8001304531035,6330.258663229844,10903.527016203205,19098.57599937221
A00006,MP,regular,2023-01-15 00:00:00,D000035,Parliament,57838.686664175766,4768.445346110481,516.7711367259993,16422.719457387066,21409.81327043026,72441.58782332271
A00006,MP,regular,2024-01-15 00:00:00,D000036,Parliament,41854.578857383385,74244.29999588405,30496.371507851112,10823.118165457581,659.4187381559474,18414.870406828777
A00006,MP,regular,2025-01-15 00:00:00,D000037,Parliament,68998.93094994307,25926.554382806306,1084.3046106337415,14228.695205065405,1574.1461368270006,11915.230261571043
A00006,MP,regular,2026-01-15 00:00:00,D000038,Parliament,82961.26248515546,49312.70118572706,27644.42401773079,1093.4367861833696,17023.489176699008,455.72274762560914
A00007,MP,initial,2023-04-04 13:30:11,D000039,Parliament,78281.42777545974,7244.131849230547,1080.011933129825,71220.41630728512,4721.504643278836,7438.186049857779
A00007,MP,regular,2024-01-15 00:00:00,D000040,Parliament,56798.35693604688,27085.59561981116,5826.501058507105,1198.5844398615916,29813.906320541148,8878.484293483885
A00007,MP,regular,2025-01-15 00:00:00,D000041,Parliament,82360.89205274929,25035.458771381134,36811.87146023109,3940.534133403585,29600.146108944355,12961.356703200603
A00007,MP,regular,2026-01-15 00:00:00,D000042,Parliament,62230.01185803167,6982.356717208159,60357.633095479374,22676.533507226995,24754.872161177682,30480.904316614462
A00008,MP,initial,2020-06-07 03:56:23,D000043,Parliament,54943.71043322941,16006.46800336204,10706.68177381919,3380.2476037681504,46785.53874257102,29912.131371293144
A00008,MP,regular,2021-01-15 00:00:00,D000044,Parliament,50798.960046885906,19745.807558361255,70090.50882487785,2260.4610210126984,3035.8843928739134,37323.53841338928
A00008,MP,regular,2022-01-15 00:00:00,D000045,Parliament,55462.95470267808,13122.107976762269,19717.15342062185,3335.7459647529336,6001.580966274196,6849.596570639606
A00008,MP,regular,2023-01-15 00:00:00,D000046,Parliament,54177.34772188157,35109.9440969016,10751.440227977117,1278.4061007340022,5815.049562649169,8507.010627080228
A00008,MP,regular,2024-01-15 00:00:00,D000047,Parliament,62556.243335632316,35779.551860483516,32470.873041799085,5788.838809118213,30500.894506400586,3256.0003346654726
A00008,MP,regular,2025-01-15 00:00:00,D000048,Parliament,62408.60971574797,38022.63352627923,7000.471415791226,6324.903388654464,14735.489551736551,38956.44819089547
A00008,MP,regular,2026-01-15 00:00:00,D000049,Parliament,60045.69030230122,32534.079239323317,6179.3743161035945,13807.90291959979,5825.12344152632,21124.575788343867
A00008,MP,exceptional,2020-10-19 16:02:31,D000050,Parliament,66554.07254619525,13391.874172719929,21374.13948730275,11550.797480121646,2933.5401906241573,1614.4400596389557
A00008,MP,exceptional,2021-07-10 22:09:06,D000051,Parliament,77859.69412179512,9607.166633097157,9901.911903894426,12838.1875298952,44701.58233182677,7238.258416348949
A00008,MP,exceptional,2020-10-20 06:15:49,D000052,Parliament,74243.31203161986,35601.71154637204,2921.7527691491396,19144.312144609583,23561.491333348607,3314.600445326194
A00009,MP,initial,2025-09-05 05:37:56,D000053,Parliament,37726.53047325145,13474.79296160877,1386.2349169375796,5252.283126245288,15037.783656168105,69623.10353199695
A00009,MP,regular,2026-01-15 00:00:00,D000054,Parliament,21691.182976470678,5657.112069036668,31008.534300186668,2893.675711076766,67319.03782918671,7849.0865882279795
A00009,MP,exceptional,2022-05-31 02:27:13,D000055,Parliament,74014.79866858911,14158.863359152634,22534.725640193334,42219.185548372414,37887.933881659505,13722.133208552148
A00009,MP,exceptional,2022-09-11 22:38:15,D000056,Parliament,39496.81952376869,3059.523241649189,10613.704690338445,20099.23368043136,3923.2510774478556,7651.639187260608
A00009,MP,exceptional,2020-09-18 08:29:31,D000057,Parliament,56628.518971609745,23529.065327500026,45311.11156971442,1251.6256927789384,14190.840643618572,12860.359496129091
A00010,MP,initial,2018-02-22 07:56:13,D000058,Parliament,42448.304609109604,8187.091695223674,10581.718404370396,64910.37734037599,13313.700877827734,131744.55787089496
A00010,MP,regular,2019-01-15 00:00:00,D000059,Parliament,32970.293436299704,6039.915149604514,24777.87485043128,23622.613814358283,37194.739809538136,6776.3855062543635
A00010,MP,regular,2020-01-15 00:00:00,D000060,Parliament,68121.94092307182,62703.90847942097,47963.26672008646,3290.5280881340886,3228.932949454735,6643.04910252225
A00010,MP,regular,2021-01-15 00:00:00,D000061,Parliament,71387.3274045397,30000.999971104036,36741.26216518458,69562.28020199848,12021.799809220058,9284.55312571956
A00010,MP,regular,2022-01-15 00:00:00,D000062,Parliament,51352.34398909921,30935.78940779253,14312.141580174532,9095.43942723504,20241.751034951943,3710.135043856572
A00010,MP,regular,2023-01-15 00:00:00,D000063,Parliament,21134.365617826348,19548.539308787917,22828.499794529725,83351.31560917711,58101.24400486928,26864.064547633967
A00010,MP,regular,2024-01-15 00:00:00,D000064,Parliament,51806.33327621276,36548.496953297414,10677.306102189339,2180.1348657700005,45905.22653184718,9539.44672732219
A00010,MP,regular,2025-01-15 00:00:00,D000065,Parliament,65877.0600810382,28472.655371245615,20836.918796845235,3486.3348285985107,15264.864771407856,17390.94737632967
A00010,MP,regular,2026-01-15 00:00:00,D000066,Parliament,37816.32646838807,18264.59364010719,5956.060696669601,21424.975218101095,18664.709259101197,21652.992742902123
A00010,MP,exceptional,2021-05-19 18:12:53,D000067,Parliament,62750.39879668733,64947.77044300216,11409.464323294642,447.8462421309975,38265.169332558115,721.7401221329957
A00010,MP,exceptional,2018-02-08 17:06:09,D000068,Parliament,59770.35226240507,4253.84092348683,4702.949661707434,377.32999286061033,27281.91293570837,20656.64782458005
A00010,MP,exceptional,2025-09-25 18:49:35,D000069,Parliament,68689.37249401632,57427.76072614723,778.6621060622867,31402.693306131092,42294.84432294355,15218.645312001992
A00011,MP,initial,2025-06-12 17:26:19,D000070,Parliament,61793.705526212296,10264.508753641974,17760.86211558001,3673.1769731609247,45253.948648256286,1729.6938135283733
A00011,MP,regular,2026-01-15 00:00:00,D000071,Parliament,45403.96588677667,15032.439093680472,39965.24676075375,50214.33590826876,35745.71224085014,2658.894626851683
A00011,MP,exceptional,2025-12-13 07:17:40,D000072,Parliament,77948.57252496737,2619.0217932961787,518.2217223318984,11098.899937658447,188.44924386329916,11624.905410705092
