agent_id,company_NIF,total_value_in_stocks,company_percentage,declaration_date
A00128,100000066,157039.75,11.42,2020-05-10
A00128,100000066,158976.75,2.95,2021-02-04
A00128,100000066,160913.75,11.75,2021-07-18
A00092,100000031,145789.76,0.52,2018-05-11
A00092,100000031,151637.13,24.81,2020-02-09
A00092,100000031,157484.5,15.63,2022-08-13
A00092,100000031,163331.87,15.49,2025-12-29
A00043,100000082,61789.68,3.92,2020-01-18
A00043,100000082,64026.74,7.66,2024-04-19
A00043,100000082,66263.8,9.48,2025-12-14
A00126,100000079,43936.39,15.01,2018-07-09
A00126,100000079,44126.18,1.64,2025-06-27
A00126,100000079,44315.97,15.38,2026-03-25
A00126,100000079,44505.77,4.68,2026-03-25
A00055,100000067,190032.68,20.31,2021-07-21
A00055,100000067,208657.96,7.96,2024-01-24
A00088,100000065,51999.97,15.44,2021-09-25
A00088,100000065,55665.24,20.91,2025-02-25
A00088,100000065,59330.51,4.75,2026-01-24
A00033,100000068,111608.5,24.25,2020-10-18
A00033,100000068,135528.25,19.49,2022-05-05
A00033,100000068,159448.0,23.52,2023-05-10
A00033,100000068,183367.75,22.42,2025-02-26
A00106,100000083,13819.32,10.02,2019-04-01
A00106,100000083,11490.39,7.15,2020-03-26
A00106,100000083,9161.46,20.8,2021-06-29
A00106,100000083,6832.53,9.24,2024-05-06
A00093,100000024,58819.84,4.55,2019-01-15
A00093,100000024,54745.31,0.88,2020-02-03
A00093,100000024,50670.78,10.87,2024-02-14
A00066,100000047,43774.27,19.86,2021-02-26
A00066,100000047,98568.21,15.35,2021-03-08
A00066,100000047,153362.14,23.19,2022-02-04
A00066,100000047,208156.08,16.45,2023-07-21
A00066,100000047,262950.02,22.92,2025-05-19
A00008,100000064,23604.97,16.89,2018-07-20
A00008,100000064,21882.55,16.82,2020-02-19
A00008,100000064,20160.13,14.99,2023-02-07
A00008,100000064,18437.7,7.23,2026-02-25
A00123,100000030,79670.74,21.3,2020-08-18
A00123,100000030,98539.22,18.18,2022-04-20
A00064,100000080,12884.55,3.22,2019-02-02
A00064,100000080,15693.39,11.26,2019-05-18
A00064,100000080,18502.23,5.44,2020-05-20
A00064,100000080,21311.07,22.45,2025-09-15
A00094,100000012,104171.28,6.61,2019-07-18
A00094,100000012,120473.94,10.55,2020-10-17
A00032,100000077,20011.08,4.45,2019-06-25
A00032,100000077,15806.11,23.28,2020-11-25
A00032,100000077,11601.14,20.3,2025-01-16
A00051,100000080,41381.16,13.71,2020-03-06
A00051,100000080,131353.33,20.28,2020-11-17
A00051,100000080,221325.51,22.45,2022-07-02
A00051,100000080,311297.68,8.29,2025-05-17
A00034,100000031,131299.57,9.14,2021-11-01
A00034,100000031,151445.28,7.97,2021-11-09
A00028,100000081,109147.44,17.46,2019-12-11
A00028,100000081,108540.64,7.1,2022-01-19
A00083,100000002,113829.89,2.09,2019-10-26
A00083,100000002,111906.61,6.72,2022-06-20
A00083,100000002,109983.34,6.55,2023-06-22
A00115,100000091,195439.92,1.31,2019-11-30
A00115,100000091,240470.04,8.95,2022-06-25
A00115,100000091,285500.16,16.04,2023-12-01
A00115,100000091,330530.28,17.18,2026-03-19
A00113,100000036,112814.15,2.48,2020-12-12
A00113,100000036,114050.11,9.56,2022-08-23
A00113,100000036,115286.07,6.43,2022-09-04
A00113,100000036,116522.02,20.18,2025-08-09
A00127,100000084,164204.22,4.19,2018-07-17
A00127,100000084,170171.12,12.95,2023-04-15
A00127,100000084,176138.02,17.55,2026-01-10
A00044,100000018,47947.0,20.33,2019-10-22
A00044,100000018,50762.33,9.04,2022-11-30
A00044,100000018,53577.66,2.86,2025-09-12
A00044,100000018,56392.99,23.54,2026-03-22
A00083,100000075,187662.35,8.86,2022-07-22
A00083,100000075,180412.77,3.28,2023-05-14
A00083,100000075,173163.19,23.15,2025-02-11
A00119,100000040,164358.33,13.48,2018-09-20
A00119,100000040,222843.74,6.43,2022-06-23
A00119,100000040,281329.15,2.78,2022-11-23
A00119,100000040,339814.56,22.48,2024-01-01
A00108,100000021,179936.5,19.61,2021-03-29
A00108,100000021,183807.36,16.23,2022-08-10
A00108,100000021,187678.23,2.56,2023-08-19
A00108,100000021,191549.09,4.46,2024-03-05
A00108,100000021,195419.96,22.51,2025-11-03
A00128,100000040,194864.45,7.98,2018-04-09
A00128,100000040,191983.39,12.4,2018-09-11
A00128,100000040,189102.34,11.49,2022-02-05
A00128,100000040,186221.29,24.86,2025-01-01
